Name             STR  DEF  MAG  MGR  DOD  HIT  SPD  LUC  PI PART
Yoshiyuki        56   0    9    0    0    100  0    0    1  1
Murasame         51   0    12   0    0    100  0    0    1  1
Organics         62   0    15   0    0    103  0    0    1  1
Crystal_Sword    76   0    19   0    0    105  0    0    1  1
Apocalypse       88   0    43   0    0    110  0    0    1  1
Amethyst         100  0    51   0    0    110  0    0    1  1
Bronze_Bow       12   0    4    0    0    99   0    0    3  1
Iron_Bow         16   0    3    0    0    100  0    0    3  1
Lode_Bow         32   0    7    0    0    100  0    0    3  1
Robin_Bow        22   0    4    0    0    100  0    0    3  1
Sage_Bow         28   0    6    0    0    100  0    0    3  1
Dream_Bow        37   0    8    0    0    103  0    0    3  1
Comet_Arrow      40   0    10   0    0    105  0    0    3  1
Sonic_Arrow      51   0    14   0    0    110  0    0    3  1
Siren            62   0    16   0    0    104  0    0    3  1
Valkerye         68   0    18   0    0    100  0    0    3  1
Mythril_Bow      75   0    30   0    0    110  0    0    3  1
Shiva's_Arc      95   0    60   0    0    110  0    0    3  1
Mage Staff       12   0    6    0    0    100  0    0    2  1  
Slash_Lance      37   0    4    0    0    110  0    0    2  1
Dragoon_Lance    33   0    8    0    0    102  0    0    2  1
Trident          40   0    10   0    0    110  0    0    2  1
Viper_Halberd    68   0    14   0    0    110  0    0    2  1
Javelin          39   0    12   0    0    104  0    0    2  1
Partisan         50   0    13   0    0    104  0    0    2  1
Scimitar         57   0    15   0    0    104  0    0    2  1
Flayer           60   0    15   0    0    106  0    0    2  1
Spirit_Lance     76   0    20   0    0    108  0    0    2  1
Venus_Gospel     93   0    31   0    0    114  0    0    2  1
Broad_Axe        14   0    0    0    0    97   0    0    4  1
Iron_Axe         17   0    1    0    0    98   0    0    4  1
Dwarf_Axe        32   0    4    0    0    99   0    0    4  1
Lode_Axe         35   0    7    0    0    100  0    0    4  1
Hard_Axe         39   0    8    0    0    97   0    0    4  1
Ogre_Axe         52   0    10   0    0    100  0    0    4  1
Flint_Edge       62   0    0    0    0    110  0    0    4  1
Aeon_Edge        63   0    13   0    0    101  0    0    4  1
Demon_Edge       61   0    15   0    0    100  0    0    4  1
Solid_Axe        77   0    16   0    0    103  0    0    4  1
Elven_Edge       90   0    30   0    0    80   0    0    4  1
Dark_Axe         95   0    34   0    0    100  0    0    4  1
Sonic_Edge       98   0    49   0    0    108  0    0    4  1
Leather_Glove       
Metal_Knuckle
Mythril_Claw
Motor_Drive
Grand_Glove
Tiger_Fang
Platinum_Fist
Diamond_Knuckle
Dragon_Claw
Crystal_Grab
God's_Hand
Premium_Heart
 
